~~#21~#22~~ #23	~~#21~#22~~ #23
~~#21 a~ b~~ #22	~~#21 a~ b~~ #22
~~#21 a ~b~~ #22	~~#21 a ~b~~ #22
~~#21 a~b~~ #22	<del>#21 a~b</del> #22
~~#21 ~~b~~ #22	~~#21 <del>b</del> #22
~~#21 a ~b~~ c~~ #22	<del>#21 a ~b~~ c</del> #22
#20~~#21~~ #22	#20~~#21~~ #22
🚧~~#21~~ #22	🚧~~#21~~ #22
~~#21 (x)~~and #22	~~#21 (x)~~and #22
~~#21 ~~~ b~~ #22	<del>#21 ~~~ b</del> #22
a~b~ c	a<del>b</del> c
~a~~b~ c	<del>a~~b</del> c
~~a~b~ c~~ d	<del>a<del>b</del> c</del> d
x ~~a~~b~~ c	x <del>a</del>b~~ c
~~a~ b~~ c~~ d	~~a~ b~~ c~~ d
~~a ~b~~ c~ d	~~a ~b~~ c~ d
(~~a)~~ b	(<del>a)</del> b
~~a.~~b	~~a.~~b
a~~.b~~ c	a~~.b~~ c
~~#21 ~~ #22	~~#21 ~~ #22
~~#21 ~~ #22~~ #23	<del>#21 ~~ #22</del> #23
~a~~b c~~ d~~ e~ f	<del>a<del>b c</del> d~~ e</del> f
~~#21~~ #22	<del>#21</del> #22
~#21~	<del>#21</del>
~ #21~ #22	~ #21~ #22
~~#21 #22	~~#21 #22
a~~—b~~ c	a~~—b~~ c
~~b—~~a c	~~b—~~a c
a~~€b~~ c	a<del>€b</del> c
~~b€~~a c	<del>b€</del>a c
a~~©b~~ c	a<del>©b</del> c
~~b©~~a c	<del>b©</del>a c
a~~“b~~ c	a~~“b~~ c
~~b“~~a c	~~b“~~a c
a~~$b~~ c	a~~$b~~ c
~~b$~~a c	~~b$~~a c
a~~🚧b~~ c	a<del>🚧b</del> c
~~b🚧~~a c	<del>b🚧</del>a c
a~~ b~~ c	a~~ b~~ c
~~b ~~a c	~~b ~~a c
a~~·b~~ c	a~~·b~~ c
~~b·~~a c	~~b·~~a c
a~~ b~~ c	a<del> b</del> c
~~b ~~a c	<del>b </del>a c
a~~　b~~ c	a~~　b~~ c
~~b　~~a c	~~b　~~a c
a~~！b~~ c	a~~！b~~ c
~~b！~~a c	~~b！~~a c
a~~⹏b~~ c	a<del>⹏b</del> c
~~b⹏~~a c	<del>b⹏</del>a c
a~~ b~~ c	a~~ b~~ c
~~b ~~a c	~~b ~~a c
a~~ b~~ c	a~~ b~~ c
~~b ~~a c	~~b ~~a c
a~~ b~~ c	a~~ b~~ c
~~b ~~a c	~~b ~~a c
a~~ b~~ c	a~~ b~~ c
~~b ~~a c	~~b ~~a c
a~~ b~~ c	a~~ b~~ c
~~b ~~a c	~~b ~~a c
a~~？b~~ c	a~~？b~~ c
~~b？~~a c	~~b？~~a c
~⹏·—€b~b~b~aa a	<del>⹏·—€b</del>b<del>b</del>aa a
a 🚧~ ~ 🚧！  .	a 🚧~ ~ 🚧！  .
a ~！　~#	a ~！　~#
)~	)~
~ b⹏ )	~ b⹏ )
· ⹏a~.€ 1~1(aa·	· ⹏a~.€ 1~1(aa·
~b(bb€~  1a	<del>b(bb€</del>  1a
ba)b —~	ba)b —~
$a(~b€	$a(~b€
·a~ )a~  ~ 　 ~~~	·a~ )a~  ~ 　 ~~~
🚧·1 $~.	🚧·1 $~.
~~ €a~b🚧	~~ €a~b🚧
$~	$~
⹏~~~ $~#$！a#	⹏~~~ $~#$！a#
a€🚧 a .—~ €🚧~	a€🚧 a .—~ €🚧~
~1€ $　b  ··)$)	~1€ $　b  ··)$)
. ！· ⹏⹏. )~( ~~€	. ！· ⹏⹏. )~( ~~€
€·~	€·~
( (~ 🚧b1 1€)　—	( (~ 🚧b1 1€)　—
⹏~a#b#~(~	⹏<del>a#b#</del>(~
！！~b~ b b	！！<del>b</del> b b
€(⹏　🚧~b！	€(⹏　🚧~b！
€~ ~~ab——　~🚧1.a	€~ ~~ab——　~🚧1.a
.~	.~
b.€ b(~	b.€ b(~
($~~	($~~
a　⹏~#~a！	a　⹏~#~a！
~€ $a(⹏$	~€ $a(⹏$
.~　~1) €~)	.~　<del>1) €</del>)
🚧 $~！	🚧 $~！
~€(~⹏ b⹏~(·~)~)	<del>€(<del>⹏ b⹏</del>(·</del>)~)
！~！~#(	！<del>！</del>#(
🚧(🚧~)a  b ()🚧€⹏	🚧(🚧~)a  b ()🚧€⹏
aa ## —$ a~#·~€	aa ## —$ a~#·~€
—b~ab	—b~ab
€1！· — .(—~  a.€	€1！· — .(—~  a.€
1(b~	1(b~
##🚧🚧—  ~~🚧	##🚧🚧—  ~~🚧
·#€a ~·	·#€a ~·
！a~~~	！a~~~
€~ab1b🚧~！a1  ！	€<del>ab1b🚧</del>！a1  ！
~！　$ a )~	<del>！　$ a )</del>
)b€a( ~—.#($ 1——	)b€a( ~—.#($ 1——
)~a	)~a
.~   .—	.~   .—
b~)1~a ~.)🚧 ~ ~	b~)1~a ~.)🚧 ~ ~
.！$~)~..€— ba b⹏	.！$<del>)</del>..€— ba b⹏
~~a~　~bb()—1	~~a~　~bb()—1
🚧~ a~~~🚧b —ab	🚧~ a~~~🚧b —ab
~1)b$  ba~ .~€ b	<del>1)b$  ba</del> .~€ b
！~　ba·	！~　ba·
#~b·　(~ €	#<del>b·　(</del> €
！~~a$	！~~a$
bb(€#　b~#a！	bb(€#　b~#a！
⹏~🚧  a  ⹏ ~~.	⹏~🚧  a  ⹏ ~~.
b~.	b~.
.~~(a~..a$#！~~	.<del>(a~..a$#！</del>
~~　！(€！a)~ ~	~~　！(€！a)~ ~
~ 　 1$🚧 ~　·—	<del> 　 1$🚧 </del>　·—
$~~1€ —	$~~1€ —
)🚧🚧~b~#⹏	)🚧🚧<del>b</del>#⹏
€　a⹏ — ~a~~！	€　a⹏ — ~a~~！
~！~$(~.	<del>！</del>$(~.
⹏~.(~$~#	⹏~.(<del>$</del>#
🚧(#！#！！·1~⹏~—.	🚧(#！#！！·1<del>⹏</del>—.
—.(b€#b~ ⹏ba.	—.(b€#b~ ⹏ba.
~ a	~ a
！  b~ —.a~	！  b~ —.a~
！~— ~#~#~	！<del>— <del>#</del>#</del>
b (~ —~~·b	b (~ —~~·b
—#b(~~	—#b(~~
—~~~！b~1 a~)·~	—~~~！b<del>1 a</del>)·~
⹏(a( ⹏~~⹏( ()	⹏(a( ⹏~~⹏( ()
~a(bb	~a(bb
~⹏~b€  a ~€🚧((1	<del>⹏</del>b€  a ~€🚧((1
·€a~ ~1€ $.~~~b	·€a~ ~1€ $.~~~b
€ ⹏~$	€ ⹏~$
(~.　！#	(~.　！#
1~　 ⹏~ba~b~a~—~	1~　 ⹏<del>ba</del>b<del>a</del>—~
)) ·~~~  .	)) ·~~~  .
⹏  ~~b —~	⹏  ~~b —~
~a( ！！~€—~！	~a( ！！<del>€—</del>！
a1~	a1~
~~ ~~~~. 1a—~#	~~ ~~~~. 1a—~#
~a~~　a🚧~€b#	~a~~　a🚧~€b#
$  ~~ ~~a	$  ~~ ~~a
⹏1　.)(~~(⹏1(	⹏1　.)(~~(⹏1(
a —~	a —~
~#~	<del>#</del>
—⹏a~#€！a ~.$	—⹏a~#€！a ~.$
)1a#　 ⹏~   ·$—	)1a#　 ⹏~   ·$—
#$ ($　~！ ~~ ~	#$ ($　~！ ~~ ~
~.~~！ 　ba　~b11~⹏	~.~~！ 　ba　<del>b11</del>⹏
~⹏~⹏#a~..！·€	<del>⹏</del>⹏#a~..！·€
a 🚧 ~~—	a 🚧 ~~—
—·   .(.€b1~	—·   .(.€b1~
·~b~a(—  ~~b	·<del>b</del>a(—  ~~b
. €~# ~1~	. €~# <del>1</del>
a$b$ ！€~a  —~a~~	a$b$ ！€~a  —~a~~
)~🚧)~a	)~🚧)~a
⹏~~a ~~~	⹏~~a ~~~
